type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagReward21,lagDelay,rewardRate,lagRewardRate,windowReward
6,9,1,22,8,2.51649393164075,0,NaN,0,-1.48350606835925,-0.595664618730295,-1.05735286829607,2.60405095021883,1.31583335545888,0,0,0,0,4,0,0,0
6,9,1,23,6,2.1896829815048,0,NaN,0,-0.810317018495198,-0.762861081260681,-0.726372265615242,2.51649393164075,-1.05735286829607,0,0,0,0,8,0,0,0
6,9,1,24,6,3.0467926906972,0,NaN,0,0.0467926906972025,-0.324363805334634,0.358535543260802,2.1896829815048,-0.726372265615242,0,0,0,0,6,0,0,0
6,9,1,25,8,4.30437954378203,0,NaN,0,0.304379543782034,0.319017553438799,0.117881620381823,3.0467926906972,0.358535543260802,0,0,0,0,6,0,0,0
6,9,1,26,4,1.09754270986855,0,NaN,0,-0.902457290131451,-1.32159997886676,-1.09795633391516,4.30437954378203,0.117881620381823,0,0,0,0,8,0,0,0
6,9,1,27,10,6.36220039900491,0,NaN,0,1.36220039900491,1.3717985798132,0.273927408964907,1.09754270986855,-1.09795633391516,0,0,0,0,4,0,0,0
6,9,1,28,8,1.94859006886327,0,NaN,0,-2.05140993113673,-0.886204200939026,-1.43065427038642,6.36220039900491,0.273927408964907,0,0,0,0,10,0,0,0
6,9,1,29,8,3.13409676447759,0,NaN,0,-0.86590323552241,-0.279699046413611,-0.651382741054137,1.94859006886327,-1.43065427038642,0,0,0,0,8,0,0,0
6,9,1,30,10,4.59166080884688,0,NaN,0,-0.408339191153118,0.465990631452605,-0.90331506215761,3.13409676447759,-0.651382741054137,0,0,0,0,8,0,0,0
6,9,1,31,10,3.81738370882113,0,NaN,0,-1.18261629117887,0.0698705134188,-1.41813658415845,4.59166080884688,-0.90331506215761,0,0,0,0,10,0,0,0
6,9,1,32,4,0.875462313234038,0,NaN,0,-1.12453768676596,-1.43521629649379,-1.45378271259056,3.81738370882113,-1.41813658415845,0,0,0,0,10,0,0,0
6,9,2,33,6,2.21682692365448,0.7,0.7,0,-0.78317307634552,-0.748974242081432,-0.692014149628419,0.875462313234038,-1.45378271259056,0,0,0,0,4,0.116666666666667,0,0.233333333333333
6,9,2,34,8,3.33785438992413,0.7,1.4,0,-0.662145610075868,-0.175456657429761,-0.517446326369814,2.21682692365448,-0.692014149628419,0.7,0,0,0,6,0.0875,0.116666666666667,0.466666666666667
6,9,2,35,6,2.24410699234068,1.4,2.8,0,-0.755893007659324,-0.735017760574247,-0.657483728111884,3.33785438992413,-0.517446326369814,0.7,0.7,0,0,8,0.233333333333333,0.0875,0.933333333333333
6,9,2,36,4,1.71747793040822,1.4,4.2,0,-0.282522069591778,-1.0044411571409,-0.104670533453459,2.24410699234068,-0.657483728111884,1.4,0.7,0.7,0,6,0.35,0.233333333333333,1.16666666666667
6,9,2,37,10,4.89969132353599,2.8,7,0,-0.10030867646401,0.623579024332369,-0.698503711815887,1.71747793040822,-0.104670533453459,1.4,1.4,0.7,0,4,0.28,0.35,1.86666666666667
6,9,2,38,8,5.01261303229262,2.8,9.8,0,1.01261303229262,0.681349763774059,0.583426180996884,4.89969132353599,-0.698503711815887,2.8,1.4,1.4,0,10,0.35,0.28,2.33333333333333
6,9,2,39,10,5.71887484213198,2.8,12.6,0,0.718874842131981,1.04267326341912,-0.15382364078245,5.01261303229262,0.583426180996884,2.8,2.8,1.4,0,8,0.28,0.35,2.8
6,9,2,40,10,4.73692637554882,0,12.65,0,-0.263073624451181,0.54030848668338,-0.806727109160785,5.71887484213198,-0.15382364078245,2.8,2.8,2.8,0,10,0,0.28,1.86666666666667
