type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagReward21,lagDelay,rewardRate,lagRewardRate,windowReward
5,41,2,111,6,3.23452956796973,2.8,98.3,0,0.23452956796973,-0.548478823369612,-0.370380368566124,2.87387957465398,1.16050358409253,0,2.8,1.4,0.7,4,0.466666666666667,0,1.86666666666667
5,41,2,112,8,4.70530203688031,2.8,101.1,0,0.705302036880312,0.450516624199483,0.165251267101554,3.23452956796973,-0.370380368566124,2.8,0,2.8,2.8,6,0.35,0.466666666666667,1.86666666666667
5,41,2,113,10,6.67232030383093,0.7,101.8,0,1.67232030383093,1.78657800385289,0.931514468399424,4.70530203688031,0.165251267101554,2.8,2.8,0,0,8,0.07,0.35,2.1
5,41,2,114,6,2.67684423008723,0.7,102.5,0,-0.323155769912773,-0.927276445365707,-1.21708270123593,6.67232030383093,0.931514468399424,0.7,2.8,2.8,0.7,10,0.116666666666667,0.07,1.4
5,41,2,115,8,4.78107838813594,1.4,103.9,0,0.781078388135938,0.501986332490828,0.265317506777856,2.67684423008723,-1.21708270123593,0.7,0.7,2.8,0.7,6,0.175,0.116666666666667,0.933333333333333
5,41,2,116,10,6.58175967477473,0,103.95,0,1.58175967477473,1.72506634377732,0.833990218438349,4.78107838813594,0.265317506777856,1.4,0.7,0.7,0.7,8,0,0.175,0.7
5,41,2,117,4,2.20770592250847,2.8,106.75,0,0.207705922508467,-1.24593010761341,-0.284657736569612,6.58175967477473,0.833990218438349,0,1.4,0.7,2.8,10,0.7,0,1.4
5,41,2,118,10,6.41458992608386,0.7,107.45,0,1.41458992608386,1.6115193326362,0.653966023297865,2.20770592250847,-0.284657736569612,2.8,0,1.4,0.7,4,0.07,0.7,1.16666666666667
5,41,2,119,8,6.02533961702102,2.8,110.25,0,2.02533961702102,1.34712814029448,1.9084230441443,6.41458992608386,0.653966023297865,0.7,2.8,0,0,10,0.35,0.07,2.1
5,41,2,120,4,2.91566431458523,2.8,113.05,0,0.915664314585229,-0.765062246878371,1.25114915337927,6.02533961702102,1.9084230441443,2.8,0.7,2.8,2.8,8,0.7,0.35,2.1
5,41,2,121,6,3.9024602441059,0,113.1,0,0.902460244105896,-0.0947990606215204,0.643701270541566,2.91566431458523,1.25114915337927,2.8,2.8,0.7,1.4,4,0,0.7,1.86666666666667
5,41,2,122,4,2.97568228361524,1.4,114.5,0,0.975682283615242,-0.724296133083938,1.38134891001559,3.9024602441059,0.643701270541566,0,2.8,2.8,2.8,6,0.35,0,1.4
5,41,2,123,4,2.84673425774599,0,114.55,0,0.846734257745993,-0.8118817342149,1.10161599238697,2.97568228361524,1.38134891001559,1.4,0,2.8,0.7,4,0,0.35,0.466666666666667
5,41,2,124,4,2.56193509567493,0,114.6,0,0.561935095674926,-1.00532638482849,0.483787995352664,2.84673425774599,1.10161599238697,0,1.4,0,1.4,4,0,0,0.466666666666667
5,41,2,125,8,4.46149149989833,0.7,115.3,0,0.461491499898329,0.284912751633941,-0.156712026524772,2.56193509567493,0.483787995352664,0,0,1.4,1.4,4,0.0875,0,0.233333333333333
5,41,2,126,6,4.46524247634807,1.4,116.7,0,1.46524247634807,0.287460534160766,1.49814193171054,4.46149149989833,-0.156712026524772,0.7,0,0,0,8,0.233333333333333,0.0875,0.7
5,41,2,127,4,3.14911832114012,2.8,119.5,0,1.14911832114012,-0.606492859230088,1.75759172933549,4.46524247634807,1.49814193171054,1.4,0.7,0,0.7,6,0.7,0.233333333333333,1.63333333333333
