Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,878.480542,78.246511,68.861047,6.270576,52.200126,384,32.241814,34.392113,74.348152,16.108108,415,0.003906,0.042969,0.308594,2841.773495,2019.422072,782.79689,50.342838,35.774645,13.867473,72.043273,27.92643,5644.84169,2.579752,0.003906,0.042969,0.152344,2964.090386,2079.14193,890.91079,49.936765,35.027819,15.009395,69.96715,29.980873,5935.687656,2.333726,0.146705,36.926597,104.315463,1.484718,1.629364,4.304409,1.122285,0.88768,11.082502,509,33.614946,98.307919,3.230924,1.629364,1.683435,1.826548,1.705962,1.575874,1.407523,1.610767,1.503631,1.372919,1.743284,1.880386,1.459128,1.608909,1.762982,1.638149,1.65334,1.430938,1.476743,2.599452,1.845831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,759.651036,49.062254,79.373834,5.296184,28.480848,103,7.341411,16.440165,45.892353,12.208696,280,0.007812,0.089844,0.179688,1554.806015,464.62678,226.057867,69.207405,20.681431,10.06227,67.163651,32.677565,2246.589102,2.055344,0.003906,0.042969,0.152344,1418.929548,502.45066,246.260433,65.40481,23.160199,11.351245,66.946298,32.811628,2169.457474,2.040322,0.16577,20.146323,66.328384,1.481883,1.633399,1.651221,1.168365,0.893507,14.540737,990,43.722056,98.923579,3.527645,1.633399,1.579764,1.461351,1.658336,1.603094,1.480869,1.48365,1.766754,1.714654,1.570784,1.392683,1.986434,1.531299,1.649653,1.465634,1.254796,1.188376,1.30239,1.364389,1.364104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,659.998596,29.732127,91.098721,4.215077,15.535816,0,0,0.35511,28.470222,7.373134,150,0.003906,0.109375,0.277344,548.480873,163.753342,143.867827,64.064311,19.126911,16.80422,53.225392,46.761925,856.141065,1.138221,0.003906,0.042969,0.28125,444.5956,210.683814,168.323758,53.975651,25.577842,20.435165,55.574588,44.400769,823.696594,1.251658,0.199072,10.991051,40.543609,1.286052,1.369504,0.482699,1.143325,1.083405,12.988787,978,42.231916,99.021662,3.40439,1.369504,1.631573,1.680889,1.606801,1.493048,1.671042,1.598485,1.783597,1.657156,1.700924,1.586581,1.467672,1.643835,1.335118,1.418513,1.774675,1.677579,1.303078,1.779553,1.652489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,823.157885,50.022497,73.201779,4.661985,35.177031,187,14.678179,20.267196,47.188548,12.623762,290,0.003906,0.09375,0.292969,731.221993,1165.75842,240.56841,34.197026,54.518971,11.250652,82.851834,17.097482,2138.261964,4.84585,0.039062,0.0625,0.152344,621.699365,1320.207925,280.363783,27.96382,59.382491,12.610665,82.434259,17.506016,2223.227581,4.70891,0.15607,24.883695,66.196133,1.56627,1.848156,3.521769,1.403551,0.587109,9.219836,287,28.745694,97.010336,2.985145,1.848156,1.786977,1.83123,1.909513,1.828204,1.634268,1.767268,1.714477,1.435852,1.450547,1.363695,1.435366,1.323081,1.555343,1.364503,1.166358,1.744384,1.680267,1.346689,1.057374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,691.063963,36.278958,87.060652,4.537729,27.088517,113,6.562137,3.380708,35.911636,11.116129,190,0.007812,0.0625,0.324219,671.968369,271.834401,177.082538,59.912517,24.236681,15.788631,60.459473,39.385438,1121.582613,1.535072,0.003906,0.042969,0.304688,686.514608,300.791415,186.756542,58.415925,25.594515,15.891222,61.548838,38.214682,1175.218249,1.610607,0.178322,19.160077,47.539667,1.573889,1.80341,0.986862,0.998735,0.946392,9.241572,190,30.033572,97.405697,3.031882,1.80341,1.697292,1.5992,1.642428,1.612362,1.535979,1.66364,1.73556,1.618572,1.483773,2.154217,1.536696,2.004586,1.705824,1.464485,1.758701,1.574039,1.990764,1.779553,2.183385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,834.087222,66.085628,72.432515,6.331495,42.827801,277,18.678355,16.775814,62.323982,14.693069,330,0.003906,0.054688,0.320312,2106.970981,1011.48127,763.678772,54.247072,26.042076,19.662035,56.918927,42.974376,3884.027093,1.324485,0.003906,0.042969,0.316406,2040.749978,1069.031408,692.868729,53.642287,28.100106,18.212453,60.615816,39.286781,3804.367923,1.542906,0.150406,30.294222,88.275437,1.460886,1.659356,3.848119,1.026636,0.92851,11.49051,221,41.039996,98.539125,3.279239,1.659356,1.567809,1.517276,1.328735,1.471529,1.553185,1.404495,1.343432,1.217747,1.327108,1.405368,1.447697,1.409638,1.236156,0.955487,0.913869,0.808571,1.229563,1.421913,1.133747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,692.340406,60.073977,87.344051,7.788886,25.301117,68,4.563758,30.674595,56.653439,16.384615,315,0.003906,0.0625,0.167969,2442.915158,754.861653,478.930394,66.436288,20.528837,13.024749,61.163785,38.806045,3677.079552,1.576141,0.003906,0.042969,0.183594,2255.846867,698.797848,513.575132,65.037572,20.146809,14.806714,57.624169,42.35036,3468.528728,1.360654,0.194115,17.896728,83.030185,1.083898,1.081152,3.638132,1.322852,1.021868,15.64872,879,41.424282,99.44988,3.597673,1.081152,1.542778,1.555587,1.674091,1.486309,1.389802,1.686372,1.52273,1.559424,1.53784,1.286464,1.341551,1.66483,1.55685,1.611219,1.819325,1.732263,1.697217,2.229078,2.192354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,772.725331,63.67967,78.197939,6.316279,47.607798,236,28.886169,16.328715,64.707307,17.404255,335,0.003906,0.109375,0.261719,699.203883,984.765108,1256.333664,23.776244,33.486678,42.721295,43.932076,56.047219,2940.766777,0.78384,0.039062,0.0625,0.246094,785.36788,1886.44932,1319.178553,19.675106,47.259495,33.048178,58.835428,41.143132,3991.683186,1.430018,0.143926,33.684631,83.49868,1.320629,1.46225,3.947992,1.196803,0.713119,9.985256,353,27.706228,97.852558,3.097779,1.46225,1.871877,1.6602,1.579503,1.424274,1.520671,1.47334,1.338669,1.596318,1.502215,1.46049,1.249534,1.137874,1.148371,0.936463,1.345889,1.138981,1.217713,1.050417,1.665701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,644.696007,46.274324,93.540271,6.63597,37.729556,30,18.518519,,,10.866667,200,0.035156,0.136719,0.152344,247.201375,688.586296,361.338986,19.030834,53.010916,27.817734,65.470498,34.35596,1298.951884,1.905652,0.039062,0.082031,0.152344,273.981674,1129.037591,540.139254,14.093737,58.078187,27.784999,67.606464,32.343392,1943.995932,2.090271,0.234602,26.763376,59.739921,0.818259,1.933526,3.558184,1.39562,0.756215,7.085873,99,22.398381,96.310241,2.571947,1.933526,2.074903,1.261187,1.606277,1.320715,1.867469,0.466576,   NaN,0.977363,1.471452,0.938527,   NaN,1.601139,1.175573,   NaN,   NaN,0.83155,   NaN,   NaN,   NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,639.093572,28.178844,94.063519,4.124543,30.844425,10,11.494253,,,7.333333,110,0.039062,0.121094,0.269531,13.686297,247.118293,388.90621,2.104404,37.996882,59.798176,38.813678,61.083622,650.364667,0.635419,0.039062,0.113281,0.289062,33.938778,235.996815,337.376089,5.583155,38.823046,55.500611,41.118771,58.782531,607.878148,0.699507,0.149297,21.936805,33.5188,0.511275,2.076939,1.366847,1.14157,0.130849,4.457143,16,11.504567,86.908078,1.985996,2.076939,1.142523,   NaN,   NaN,   NaN,   NaN,0.907992,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,0.652325,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
