type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagReward,lagDelay,rewardRate,lagRewardRate,windowReward
1,9,2,55,6,3.15968622900255,0.5,17.83,0,0.159686229002546,-0.159013784615312,0.0747791685475457,3.55331899700104,2.3,8,0.0833333333333333,0.2875,1.33333333333333
1,9,2,56,10,4.67553594700075,0.5,18.33,0,-0.324464052999247,0.814645235691361,-0.0460324886195373,3.15968622900255,0.5,6,0.05,0.0833333333333333,1.1
1,9,2,57,10,2.35534617499798,1.2,19.53,0,-2.64465382500202,-0.675656654734203,-1.65177787737672,4.67553594700075,0.5,10,0.12,0.05,0.733333333333333
1,9,2,59,10,5.83441007100191,1.2,23.03,0,0.834410071001912,1.55901206232098,0.75599534687023,5.95781256299961,2.3,6,0.12,0.383333333333333,1.56666666666667
1,9,2,60,10,4.36860355700264,0,23.04,0,-0.631396442997357,0.617496740957598,-0.258452729345906,5.83441007100191,1.2,10,0,0.12,1.16666666666667
1,9,2,61,6,4.57658914399872,1.2,24.24,0,1.57658914399872,0.751089827704965,1.43867296405883,4.36860355700264,0,10,0.2,0,0.8
1,9,2,62,6,4.55424558000232,0.5,24.74,0,1.55424558000232,0.736738132828758,1.41716531665281,4.57658914399872,1.2,6,0.0833333333333333,0.2,0.566666666666667
1,9,2,63,6,4.76348096999936,0,24.75,0,1.76348096999936,0.8711339917448,1.61857279997296,4.55424558000232,0.5,6,0,0.0833333333333333,0.566666666666667
1,9,2,64,10,5.19841093500145,1.2,25.95,0,0.198410935001448,1.15049775623801,0.315836230486936,4.76348096999936,0,6,0.12,0,0.566666666666667
1,9,2,65,8,6.76701403900006,0,25.96,0,2.76701403900006,2.15804127678316,2.39111003658071,5.19841093500145,1.2,10,0,0.12,0.4
1,9,2,66,4,2.19105154999852,0,25.97,0,0.191051549998519,-0.781186208039706,0.623638965809609,6.76701403900006,0,8,0,0,0.4
1,9,2,67,8,4.74780609400113,1.2,27.17,0,0.747806094001135,0.861065721634212,0.696570506487783,2.19105154999852,0,4,0.15,0,0.4
1,9,2,68,6,3.52229165500103,1.2,28.37,0,0.522291655001027,0.0738945569198893,0.423818813751037,4.74780609400113,1.2,8,0.2,0.15,0.8
1,9,2,69,8,4.42584748900117,2.3,30.67,0,0.425847489001171,0.654265604048982,0.426379620711378,3.52229165500103,1.2,6,0.2875,0.2,1.56666666666667
1,9,2,70,10,5.56260465399828,2.3,32.97,0,0.562604653998278,1.38442628848629,0.567885606770795,4.42584748900117,2.3,8,0.23,0.2875,1.93333333333333
1,9,2,71,8,5.09031042399874,0,32.98,0,1.09031042399874,1.08106274801269,0.98400357045052,5.56260465399828,2.3,10,0,0.23,1.53333333333333
1,9,2,72,8,3.03965725799935,0.5,33.48,0,-0.960342742000648,-0.236110668909172,-0.736925104034288,5.09031042399874,0,8,0.0625,0,0.933333333333333
1,9,2,74,8,4.40126500399856,0.5,34.48,0,0.40126500399856,0.638475807751791,0.405749753100163,NaN,0.5,4,0.0625,0.125,0.5
1,9,2,75,8,4.56498068400106,1.2,35.68,0,0.564980684001057,0.743633493706686,0.543141591393679,4.40126500399856,0.5,8,0.15,0.0625,0.733333333333333
1,9,2,76,8,4.80423863099713,1.2,36.88,0,0.804238630997133,0.89731341032825,0.743929256714571,4.56498068400106,1.2,8,0.15,0.15,0.966666666666667
1,9,2,77,6,4.69648273500206,0.5,37.38,0,1.69648273500206,0.828099754857589,1.55408110046702,4.80423863099713,1.2,8,0.0833333333333333,0.15,0.966666666666667
1,9,2,78,6,3.79366484899947,1.2,38.58,0,0.79366484899947,0.248202705721701,0.685039403845989,4.69648273500206,0.5,6,0.2,0.0833333333333333,0.966666666666667
1,9,2,80,8,2.58385370200267,0.5,41.38,0,-1.41614629799733,-0.528881936743092,-1.11944001316303,NaN,2.3,10,0.0625,0.23,1.33333333333333
1,9,2,81,10,5.32230847000028,1.2,42.58,0,0.32230847000028,1.23007949254936,0.401582619813972,2.58385370200267,0.5,8,0.12,0.0625,1.33333333333333
1,9,2,82,6,3.09946658100307,1.2,43.78,0,0.099466581003071,-0.197694006525312,0.0168124557932148,5.32230847000028,1.2,10,0.2,0.12,0.966666666666667
1,9,2,83,10,6.57108502399933,0,43.79,0,1.57108502399933,2.03219235486814,1.26582968157098,3.09946658100307,1.2,6,0,0.2,0.8
1,9,2,84,10,3.73804504399959,1.2,44.99,0,-1.26195495600041,0.212477050201347,-0.694846526445632,6.57108502399933,0,10,0.12,0,0.8
1,9,2,85,8,5.95377327700044,0,45,0,1.95377327700044,1.63568131312683,1.70863024439072,3.73804504399959,1.2,10,0,0.12,0.4
1,9,2,86,8,4.91228514199975,1.2,46.2,0,0.912285141999746,0.966713733329453,0.834602970848875,5.95377327700044,0,8,0.15,0,0.8
1,9,2,87,10,6.20828832199913,2.3,48.5,0,1.20828832199913,1.7991611531297,1.01474714585656,4.91228514199975,1.2,8,0.23,0.15,1.16666666666667
1,9,2,88,10,8.00331770399862,0,48.51,0,3.00331770399862,2.95214256596219,2.25704214586481,6.20828832199913,2.3,10,0,0.23,1.16666666666667
1,9,2,89,4,1.6311380219995,1.2,49.71,0,-0.368861978000496,-1.14082928522278,-0.231111404142267,8.00331770399862,0,10,0.3,0,1.16666666666667
1,9,2,90,8,4.8707203519989,2.3,52.01,0,0.870720351998898,0.940015880481005,0.799721382802982,1.6311380219995,1.2,4,0.2875,0.3,1.16666666666667
1,9,2,91,6,4.70185608899919,0.5,52.51,0,1.70185608899919,0.831551162029742,1.55925342674302,4.8707203519989,2.3,8,0.0833333333333333,0.2875,1.33333333333333
1,9,2,92,6,3.81104366900036,2.3,54.81,0,0.811043669000355,0.259365451378635,0.70176804807535,4.70185608899919,0.5,6,0.383333333333333,0.0833333333333333,1.7
1,9,2,93,10,4.49104996099777,0.5,55.31,0,-0.508950039002229,0.696146388306157,-0.173710631540968,3.81104366900036,2.3,6,0.05,0.383333333333333,1.1
1,9,2,94,4,1.17370726399895,1.2,56.51,0,-0.826292736001051,-1.4346457357619,-0.929414070672997,4.49104996099777,0.5,10,0.3,0.05,1.33333333333333
1,9,2,95,4,1.79600009099886,2.3,58.81,0,-0.203999909001141,-1.03493525187519,0.0205630195349518,1.17370726399895,1.2,4,0.575,0.3,1.33333333333333
1,9,2,96,10,5.26233636699908,2.3,61.11,0,0.262336366999079,1.19155827348617,0.360077425277611,1.79600009099886,2.3,4,0.23,0.575,1.93333333333333
1,9,2,97,10,6.18890424500205,2.3,63.41,0,1.18890424500205,1.78671039287659,1.00133191033187,5.26233636699908,2.3,10,0.23,0.23,2.3
1,9,2,98,4,2.62346891800189,2.3,65.71,0,0.62346891800189,-0.503436332247434,1.28375679971047,6.18890424500205,2.3,10,0.575,0.23,2.3
1,9,2,99,8,5.84452430099918,1.2,66.91,0,1.84452430099918,1.56550862405356,1.6169474095867,2.62346891800189,2.3,4,0.15,0.575,1.93333333333333
1,9,2,100,6,2.80544490900138,0,66.92,0,-0.19455509099862,-0.38654970225229,-0.266209288283051,5.84452430099918,1.2,8,0,0.15,1.16666666666667
1,9,2,101,8,5.05203068599803,0.5,67.42,0,1.05203068599803,1.05647494636136,0.951878830943397,2.80544490900138,0,6,0.0625,0,0.566666666666667
1,9,2,103,6,2.97901178500251,0,67.44,0,-0.0209882149974874,-0.275064406290285,-0.0991358898315689,8.70455172800212,0,10,0,0,0.166666666666667
1,9,2,104,8,4.2710880199993,0,67.45,0,0.271088019999297,0.554860662264559,0.296503924387289,2.97901178500251,0,6,0,0,0
1,9,2,105,10,6.54565386200193,0,67.46,0,1.54565386200193,2.01585743724296,1.2482294095584,4.2710880199993,0,8,0,0,0
