type,id,D1S1,D1S2,D1S3,D2S1,D2S2,D2S3,D3S1,D3S2,D3S3,D4S1,D4S2,D4S3
2,10,2.11490331599998,2.07867214562164,1.84678329044416,2.50042940410021,3.35378452642104,3.20219597769974,3.54240687169968,4.32819826489746,3.57620029309983,4.74984149359989,5.84591768836837,5.06749596379959
2,11,1.81611025030006,2.34781319442106,2.27610445355549,2.4761017135,3.22561664943585,3.30520598859994,3.44307036109999,4.07757329,3.95426612190004,3.9943156624445,4.77130788794876,5.02887907269997
2,12,2.38446664640001,2.42221081736844,2.57040863650009,3.51247793049999,3.53734203299996,3.86311636100008,4.50399403329999,4.45656423510811,4.96900405079991,5.4795072089,5.59864554317952,6.01630621759996
2,13,1.84289938799999,2.17232831319451,2.18944836499986,2.76310123322224,3.06379645861537,3.39106536399986,3.6859304046,3.92936880713158,4.07034612022219,4.2076072128,4.78547211137501,5.13396473366664
2,14,1.87595256669997,1.94587273248562,2.04271584730022,2.51479850377776,2.62347936745949,2.90328374730007,3.10717739340016,3.48074573863889,3.85812083720002,4.11941081669993,4.24697775964867,4.79408408533335
2,15,2.07257669639966,2.28637962273532,2.33840809255546,2.92712765824922,3.39880670974339,3.26955477779993,3.0658367167498,4.1228407719499,4.40321112888887,2.91827994912501,5.16835469835888,5.29311727209988
2,16,1.40873289519986,1.86167445982023,2.00318586659923,1.55477241059998,2.40196391672507,2.76699386999988,2.52699702470018,2.69530746217515,3.29662526455488,2.95920622470003,3.58246164917923,3.78284360709986
2,17,2.29567064229991,2.75446067984206,2.82481508879991,3.23714411840001,3.74040271429997,3.57642191280001,3.77438005809995,4.33611234327496,5.11438964033338,4.89918713540003,5.44664025615388,5.68681016911109
2,18,1.86081934810027,1.77244332184609,1.32582623079979,2.7370699608,2.63675413923662,2.84707129509989,3.33161902599968,4.02507310774364,4.03661488770049,5.19974795777752,4.87811701562459,4.44690225279992
2,19,2.43034967211093,2.3031789248334,2.18268919710026,3.43286524171448,3.23220622863147,2.94562078689996,4.69729568500024,4.48159847557558,3.66567111789973,5.56393246259995,5.72031442392108,5.27956464369945
2,20,1.87822350970002,2.05053097713158,1.90071780489998,2.57266307420002,3.00646693815381,2.95202119233318,3.68226402050003,4.13484208097497,3.60945381399995,4.98957716959999,5.08092701810256,4.951035533
2,21,2.25259138630026,1.84000815973664,2.38542282019953,3.12758049122284,2.63556181792519,3.71211055255521,4.10542284840085,3.7402803854995,4.87241222590019,4.82305592020093,4.20419900392462,5.68520665269862
2,22,1.98565573760097,1.91741568824982,1.98912773650009,3.22440769888918,2.96964561138455,3.13656181369952,3.66468650980059,3.9077605207247,3.91228018759939,4.38101320189962,5.02922418541036,5.2596691681003
2,23,1.84198448059988,2.02690165245001,1.82365310180021,3.35535831679999,3.34050563086843,2.64015429649999,4.31394759359996,4.28098057215788,3.86450231500012,5.18168804499987,5.25331945359985,5.02722969920014
2,24,2.16137001122221,1.86156346258975,1.77411961090011,2.82340012049999,3.17056148220516,2.66328085699984,3.35802317270009,4.64826203612818,3.72733835540012,4.76485662266653,5.57275113122505,4.61771523459993
2,25,2.37324974888886,2.07237216641018,2.04209056522167,4.08256424699963,2.96589316722484,1.82223632849946,3.79392914577733,3.58042253400008,2.5435849687779,5.13509724433344,3.72940572237489,2.68218170139971
3,1,1.98157475379885,2.78701907656413,2.85374812122286,3.27546510540087,3.71792883830774,4.17465360040042,4.37211085210001,4.61443549973688,4.88257043039957,5.28617561400024,5.97808554134963,5.7684747036008
