type,id,D1R1,D1R2,D1R3,D1R4,D2R1,D2R2,D2R3,D2R4,D3R1,D3R2,D3R3,D3R4,D4R1,D4R2,D4R3,D4R4
2,15,2.04150499749994,2.34228715100016,2.31513615330023,2.35982184469976,3.39756281479968,3.36051166511041,3.32701613240024,3.50630672219995,4.10639971939981,4.14889406159982,4.28669410079983,3.94937520600015,5.1200057570999,4.98785622320011,5.4975009867776,5.10097045519979
2,16,1.73428068430003,1.92921457644479,1.80046261219941,1.98949397799915,2.22710317029923,2.48207212550005,2.39827778470099,2.50040258640001,2.62131502869997,2.5970580682002,2.90955276200039,2.65330398980004,3.59388945866643,3.36064440810042,3.76465703040012,3.61179848049869
2,17,2.63437541788901,2.96714337169988,2.76582118822211,2.63963026619995,3.78865414319989,3.79134003150002,3.4656251336,3.91599154889996,4.41469465149999,4.2041424743999,4.32410704839995,4.40150519880003,5.23245063780009,5.71703226344446,5.29959157320009,5.56452575089993
2,18,1.91755389770005,1.76248513088851,1.66601842540003,1.74272001429999,2.62465763099908,2.64531718909966,2.80058463080059,2.47403780439963,4.1123220675553,3.75323388479992,3.97314527080016,4.27031610380036,5.13244000209888,4.8933998208995,5.17061146040032,4.31601677909966
2,19,2.39095650475019,2.42659714199999,2.34907911774985,2.0728184894002,3.19958902977831,3.08568976844415,3.23580582239956,3.38982692799982,4.56773604839909,4.41028811622204,4.48113494233358,4.5031261924998,5.30991187622223,5.92351523911101,5.76918611580022,5.85792429129997
2,20,2.0069905026,2.30281604022227,2.07363160788888,1.84622432719998,3.09024655429996,2.90936757077773,3.02437515649992,2.9921685343,4.03420991569996,4.19145941019999,4.31478586200001,3.99891313599992,5.1066393518,4.95659601570003,5.09653866033328,5.16549520880001
2,21,2.49442881955474,1.70467140889996,1.58890613019976,1.61496392255584,3.18528293279996,2.5337824744005,2.85822293089914,1.96495893360116,5.04850998039947,3.68774043789963,3.47138854329896,2.75348258039994,5.23165183939927,4.50175388599928,3.40192611849961,3.68146417180033
2,22,1.977596404,1.87734348380036,1.93514893489883,1.8795739303001,3.06724583030045,2.93650279300022,3.00460718669929,2.86691235369981,3.73690109780036,3.79118433009899,3.9056795132994,4.19727714170003,5.03265020539948,4.69363259240054,4.74331745677854,5.61870581419971
2,23,1.77411492800015,2.16293217629986,1.98228682409999,2.18827268140003,3.29826541344452,3.47663369279994,3.41433959440005,3.14945470888885,3.97711671512508,4.3820191335999,4.27711482579994,4.42689884270003,4.44357029129988,5.10191724879969,5.35404173389998,6.11374854039987
2,24,1.86332888270017,1.81598670539988,2.0074555667999,1.74814038800009,2.98949584499996,3.03567529288891,3.3451411076001,3.29844506440004,4.98225604900008,4.3209065350999,4.77779643600004,4.52504256439988,5.54115560260007,5.55248812630002,5.5325009877,5.66485980830012
