id,cond,k,s,k2,s2,weber1,weber2,weberR,stevens1,stevens2,stevensR,meanReproduction,stdReproduction,cvReproduction,meanDiff,stdDiff,cvDiff,meanAbsDiff,stdAbsDiff,cvAbsDiff,meanRelReproduction,stdRelReproduction,cvRelReproduction,meanSR,stdSR,cvSR,meanRelDiff,stdRelDiff,cvRelDiff,meanAbsError,stdAbsError,cvAbsError,weberVar,weberVarR,stevensVar,stevensVarR
31,2,0.04054155,0.0325902,0.03877288,0.06120765,4.393914,-2.677387,0.8877153,0.7933656,0.9453887,0.9143245,4.792267,3.240259,0.6761433,-2.047636,1.709545,-0.8348873,2.047636,1.709545,0.8348873,0.6903077,0.1511882,0.2190157,1.536243,0.4476431,0.2913883,-0.3096923,0.1511882,-0.4881885,0.3096923,1.709545,5.520142,0.5458745,0.8710194,0.6280894,0.8619771
32,1,0.01844851,0.0603805,0.0237846,0.04358622,3.147671,-1.654208,0.8069507,0.7413417,0.8538859,0.80958,3.696833,2.434618,0.6585686,-3.14307,2.570329,-0.8177766,3.14307,2.570329,0.8177766,0.5497751,0.1227516,0.223276,1.912243,0.4496398,0.2351374,-0.4502249,0.1227516,-0.272645,0.4502249,2.570329,5.708988,0.9265023,0.8145765,1.140158,0.8879745
33,4,0.08964719,0.02999146,0.04165433,0.03961249,6.8447,-5.08509,0.7332706,0.4998331,1.29084,0.8652089,6.5509,5.553762,0.8477861,-0.2890027,2.218342,-7.675851,1.456017,1.677604,1.152188,0.8981159,0.2465039,0.2744678,1.19683,0.3313705,0.2768735,-0.1018841,0.2465039,-2.419453,0.2126279,1.677604,7.889861,1.712507,0.6991861,1.602756,0.9104767
34,2,0.1151083,0.07988247,0.1177588,0.353007,4.716814,-1.805817,0.7466816,1.187013,0.8687446,0.8417711,6.212767,3.792679,0.6104654,-0.6271361,1.797844,-2.866753,1.193797,1.47133,1.232479,1.009573,0.3357862,0.3326022,1.094027,0.3673671,0.3357934,0.009572886,0.3357862,35.0768,0.2243383,1.47133,6.558531,1.058812,0.7839233,0.9358931,0.8967472
35,3,0.01461048,0.04510947,0.01807963,0.03441041,3.627771,-1.878945,0.7924759,0.7819538,0.8963506,0.833338,4.288267,2.83147,0.660283,-2.551636,2.252503,-0.8827683,2.551636,2.252503,0.8827683,0.647803,0.1555241,0.2400793,1.64597,0.4758118,0.2890769,-0.352197,0.1555241,-0.4415827,0.352197,2.252503,6.395578,0.9173857,0.9327502,0.8850845,0.9457389
36,4,0.07600593,0.02898934,0.07221627,0.05488084,4.0674,-1.794047,0.8795521,1.147064,0.7990465,0.8842044,5.120533,3.013361,0.5884857,-1.719369,2.008651,-1.168249,1.797083,1.937003,1.077859,0.7884102,0.1773945,0.2250028,1.329663,0.2890841,0.2174116,-0.2115898,0.1773945,-0.8383884,0.2363973,1.937003,8.193846,0.4701362,0.4689649,0.4152471,0.4021454
37,3,0.04277755,0.04249643,0.02614756,0.06690646,3.697343,-0.2560829,0.6672397,2.125173,0.5732545,0.6259409,6.0294,3.144951,0.5216026,-0.8105027,2.938014,-3.624927,1.945651,2.322799,1.193841,1.009022,0.4310113,0.4271577,1.185968,0.5544398,0.4674999,0.009021522,0.4310113,47.77589,0.3113685,2.322799,7.459967,0.6294564,0.379334,0.3711446,0.4069087
38,4,0.07567151,0.07992827,0.07702951,0.07194167,3.880329,-1.604325,0.8828903,1.015042,0.8417431,0.943252,4.992233,2.869328,0.5747584,-1.847669,1.85229,-1.002501,1.883397,1.814684,0.9635165,0.7871045,0.1438251,0.1827268,1.311986,0.2423976,0.1847563,-0.2128955,0.1438251,-0.6755667,0.2273012,1.814684,7.98361,0.4281782,0.72902,0.8097702,0.8444106
39,1,0.03582108,0.07069872,0.01808363,0.08128462,4.2623,-2.136677,0.7376217,0.9310772,0.8955371,0.7821361,5.109233,3.448198,0.6748953,-1.730669,2.176833,-1.257798,1.978739,1.94594,0.9834241,0.7772224,0.2401257,0.3089537,1.409267,0.4379445,0.3107604,-0.2227776,0.2401257,-1.077872,0.283784,1.94594,6.857114,1.154445,0.9183365,0.7855136,0.9622623
40,2,0.08087146,0.05440211,0.06362911,0.03911774,3.625386,-0.9572557,0.8595008,1.567287,0.6541455,0.8099621,5.2059,2.717041,0.5219156,-1.634003,2.496933,-1.528109,1.949903,2.250218,1.154016,0.831105,0.2313275,0.2783373,1.291954,0.3517941,0.2722961,-0.168895,0.2313275,-1.369653,0.2473682,2.250218,9.096633,0.5425678,0.4836532,0.5773077,0.4779337
41,4,0.05314805,0.06598043,0.03586783,0.1003024,3.175857,-1.441224,0.7718224,0.9278494,0.7788413,0.7536677,3.957733,2.511697,0.6346302,-2.882169,2.684728,-0.9314956,2.882169,2.684728,0.9314956,0.6030583,0.1583519,0.2625813,1.778379,0.4921961,0.2767667,-0.3969417,0.1583519,-0.3989297,0.3969417,2.684728,6.763532,0.8914348,0.6043618,0.9793702,0.6394792
42,1,0.1159411,0.09771504,0.1012815,0.01833138,4.011171,-2.081325,0.7686423,0.7582299,0.954479,0.8503106,4.737667,3.17888,0.67098,-2.102236,1.997241,-0.9500553,2.140669,1.954553,0.9130573,0.7253526,0.200488,0.2764007,1.488207,0.4334117,0.2912309,-0.2746474,0.200488,-0.7299832,0.2937326,1.954553,6.654192,0.7525693,0.5106784,0.8546339,0.6119508
43,1,0.1096967,0.1898427,0.06213877,0.04667723,4.068114,-1.211394,0.8266606,1.523454,0.7115636,0.8197095,5.7044,3.108813,0.5449851,-1.135503,2.205743,-1.942526,1.722073,1.769558,1.027574,0.911243,0.2874894,0.3154915,1.192591,0.3587731,0.300835,-0.08875699,0.2874894,-3.239062,0.2203421,1.769558,8.030957,0.4061547,0.2342435,0.3245336,0.2062555
44,4,0.04480822,0.03167974,0.03608439,0.04699072,2.980814,-0.2207509,0.8536844,1.538852,0.623588,0.8629609,4.846633,2.241565,0.4624993,-1.993269,2.606763,-1.307782,2.302749,2.328054,1.010989,0.8264681,0.2812158,0.3402621,1.327365,0.3804888,0.2866496,-0.1735319,0.2812158,-1.620543,0.2875872,2.328054,8.095124,0.0523253,0.03580826,0.05950294,0.03552591
45,3,0.1190244,0.06063795,0.1076591,0.03622819,4.316,-2.638333,0.7408004,0.6314152,1.037196,0.81787,4.698867,3.484142,0.7414857,-2.141036,2.017685,-0.9423873,2.187608,1.965327,0.8983907,0.6859706,0.211354,0.3081094,2.589478,6.029514,2.328467,-0.3140294,0.211354,-0.6730389,0.3242103,1.965327,6.061888,1.018102,0.7046335,0.7567027,0.6808528
46,4,0.119428,0.1032607,0.1220589,0.0642004,5.559971,-3.397685,0.8738589,0.8589271,1.013633,0.950228,6.054266,4.132539,0.6825829,-0.7856361,1.041418,-1.325572,0.9206467,0.9199134,0.9992034,0.883765,0.1212697,0.1372194,1.151747,0.1546024,0.1342329,-0.116235,0.1212697,-1.043314,0.1403863,0.9199134,6.552729,0.7366316,0.7359001,1.242343,0.9128324
47,3,0.1236331,0.05468328,0.1094038,0.0956338,6.019043,-3.621273,0.82429,0.9234912,1.019606,0.9048306,6.6111,4.606302,0.6967528,-0.2288027,1.428449,-6.243148,1.094258,0.9251668,0.8454743,0.9706627,0.2032713,0.209415,1.071703,0.2099887,0.1959392,-0.02933735,0.2032713,-6.928753,0.1680831,0.9251668,5.504224,0.9657779,0.7864317,0.7198328,0.773436
48,2,0.05677005,0.05087247,0.0707021,0.04273277,3.525914,-0.9563209,0.8798092,1.44614,0.6769958,0.852941,5.037734,2.611816,0.5184506,-1.802169,2.410995,-1.337829,1.929058,2.307189,1.196018,0.8108447,0.181488,0.2238258,1.300665,0.3250239,0.2498906,-0.1891553,0.181488,-0.9594655,0.2184968,2.307189,10.55937,0.5886224,0.8198467,0.6572042,0.7761749
