id,trial,llTop,delay,ssA,llA,llRight,response,rt
2,26,1,1,26.3,36.2,0,-1,-1
2,27,1,12,24.7,38.7,0,-1,-1
2,28,1,2,22.9,39.6,0,-1,-1
2,29,0,1,22.2,19,1,0,995
2,30,1,2,27.3,47.6,0,1,922
2,31,1,2,26.7,44.9,1,-1,-1
2,32,0,1,25.6,22.8,0,-1,-1
2,33,0,2,20.8,35,0,-1,-1
2,34,0,2,27.1,45.6,0,-1,-1
2,35,0,6,30,-695.4,1,0,814
2,36,1,9,24.5,100,0,-1,-1
2,37,0,1,24.8,34.3,1,0,778
2,38,1,9,26.8,113.6,0,-1,-1
2,39,0,4,20.1,50.2,0,-1,-1
2,40,1,9,28.8,122.1,0,-1,-1
2,41,0,4,23.2,57.9,1,-1,-1
2,42,0,2,25.2,44.8,1,-1,-1
2,43,1,1,25.4,35.6,1,-1,-1
2,44,0,6,26.4,84.5,0,-1,-1
2,45,0,2,23.7,-474.8,1,0,723
2,46,0,6,23.5,77,0,-1,-1
2,47,0,2,26.8,20.3,0,-1,-1
2,48,1,1,23.1,32.7,0,-1,-1
2,49,0,12,21,22.1,0,-1,-1
2,50,1,9,26.7,-49.9,0,-1,-1
2,51,0,9,20.8,-38.9,0,-1,-1
2,52,1,4,28.3,72.2,0,-1,-1
2,53,0,6,28.7,-62.5,0,-1,-1
2,54,1,4,20.7,52.8,1,-1,-1
2,55,1,9,26.4,-49.4,1,0,1193
2,56,0,6,29.6,25.1,1,0,705
2,57,0,1,21.2,30.3,1,-1,-1
2,58,1,2,24,43.9,0,-1,-1
2,59,1,4,25,65,1,1,1663
2,60,0,1,27.5,38.9,0,-1,-1
2,61,0,12,23.2,124.9,1,-1,-1
2,62,1,2,29.5,20.9,1,-1,-1
2,63,0,6,29.9,97.5,0,1,778
2,64,0,12,21,109.8,0,-1,-1
2,65,1,6,28.5,-52.2,1,-1,-1
2,66,1,1,20.3,28.4,1,-1,-1
2,67,1,9,22.5,20.5,1,-1,-1
2,68,1,2,25.4,17.8,1,-1,-1
2,69,0,2,25.4,17.8,1,0,579
2,70,1,1,28.9,18.7,1,-1,-1
2,71,0,12,21.2,112.8,1,1,723
2,72,0,9,21.5,20,0,-1,-1
2,73,0,2,24.5,17.5,1,0,688
2,74,0,12,25.1,25.2,1,0,795
2,75,0,4,23,58.3,0,-1,-1
2,76,1,6,24,78,0,-1,-1
2,77,0,12,27.1,145.5,0,-1,-1
2,78,1,1,23.2,-322.3,1,-1,-1
2,79,0,9,28.2,-51.4,1,-1,-1
2,80,0,12,22.4,-37.7,0,-1,-1
3,1,1,4,26.5,25.5,0,-1,-1
3,2,0,12,28,58.5,0,-1,-1
3,3,1,12,27,40.5,0,-1,-1
3,4,0,2,21,22.9,1,-1,-1
3,5,0,2,27.9,38.2,0,-1,-1
3,6,0,2,24.2,21.9,1,-1,-1
3,7,0,2,23.4,32,1,0,796
3,8,1,2,22,53.1,1,-1,-1
3,9,1,6,28.3,98.8,1,-1,-1
3,10,0,12,25.3,38.6,1,-1,-1
3,11,1,6,23.1,80.7,1,-1,-1
3,12,1,2,29.4,32.2,0,-1,-1
3,13,1,2,25.5,61.6,0,-1,-1
3,14,1,9,24.5,20.2,0,0,1429
3,15,0,6,26.3,21.5,0,-1,-1
3,16,1,2,23.1,48.9,0,-1,-1
3,17,0,9,27.7,39,0,1,887
3,18,0,2,21.1,22.9,1,-1,-1
3,19,1,9,24.8,21.1,1,0,1285
3,20,1,1,23.1,17.2,0,-1,-1
3,21,0,12,20.9,30.8,0,-1,-1
3,22,1,6,25.3,21.3,1,-1,-1
3,23,1,12,24.8,36.5,0,-1,-1
3,24,1,6,26.4,62.8,1,-1,-1
3,25,1,4,29.4,61.9,1,-1,-1
3,26,1,6,21.3,17.9,1,-1,-1
3,27,0,4,21.2,17.1,1,-1,-1
3,28,1,9,29.2,82.9,0,-1,-1
3,29,1,12,27.3,40.2,0,-1,-1
3,30,1,4,24,28,1,-1,-1
3,31,1,1,23.4,24.4,1,-1,-1
3,32,1,9,20.3,18.1,0,-1,-1
3,33,1,4,29.2,34,0,0,1627
3,34,1,2,26.5,29,1,0,1682
3,35,1,9,28.2,39.9,1,-1,-1
3,36,0,1,24.5,46.9,0,-1,-1
3,37,0,1,25.2,26.4,0,-1,-1
3,38,0,4,20.9,24.9,0,-1,-1
3,39,0,6,20.6,17,0,-1,-1
3,40,1,9,29.5,107.2,0,-1,-1
3,41,1,2,21.7,45.2,1,-1,-1
3,42,0,4,28.6,34.1,1,-1,-1
3,43,0,4,29.9,73.2,0,-1,-1
3,44,1,4,24.7,19.4,0,-1,-1
3,45,0,6,26.4,75.7,0,0,1501
3,46,1,2,24.4,15.9,1,-1,-1
3,47,1,6,21.1,15.1,0,-1,-1
3,48,1,4,28.2,140.6,0,1,723
3,49,1,6,28.6,37.1,1,-1,-1
3,50,1,1,23.2,24.4,1,-1,-1
3,51,1,4,25.4,30.5,1,0,1411
3,52,0,1,20.7,56.7,1,-1,-1
3,53,1,9,25.2,36.8,0,-1,-1
3,54,0,2,25.2,78.9,0,-1,-1
3,55,0,1,22.1,14.4,1,-1,-1
3,56,0,12,20.1,497,1,-1,-1
3,57,1,9,27.6,271,0,-1,-1
3,58,1,2,22.1,69.2,0,-1,-1
3,59,0,12,22.7,36.4,1,-1,-1
3,60,1,12,27.6,682.4,1,-1,-1
3,61,0,6,25.1,32.9,0,-1,-1
3,62,1,2,23.6,15.9,0,-1,-1
3,63,0,12,29.9,47.9,0,-1,-1
3,64,1,2,20.1,62.9,0,1,1483
3,65,1,1,20.3,13.6,1,-1,-1
3,66,1,1,20.4,13.7,1,0,1809
3,67,0,2,22.7,56.1,0,-1,-1
3,68,1,2,23,25.5,1,0,1212
3,69,0,2,28.9,32.2,0,-1,-1
3,70,1,4,20.2,24.7,1,-1,-1
3,71,1,4,28.6,87.7,1,-1,-1
3,72,1,2,24.6,27.4,1,-1,-1
3,73,0,4,28.2,34.5,0,0,1646
3,74,1,2,20.6,23.1,0,-1,-1
3,75,0,2,22.1,16.1,1,-1,-1
3,76,0,6,21.2,28.7,1,-1,-1
3,77,1,1,26.7,18.8,1,0,1176
3,78,0,6,26.1,87.6,0,-1,-1
3,79,1,12,21.2,36,0,-1,-1
3,80,1,6,22.7,30.9,0,-1,-1
3,1,0,1,21.9,19.1,1,0,1700
3,2,1,2,24.6,31.5,1,-1,-1
3,3,0,12,21.5,32.3,1,-1,-1
3,4,1,9,23.4,39.9,1,-1,-1
3,5,1,9,21.1,29.1,1,-1,-1
3,6,1,2,26.5,33.9,0,-1,-1
3,7,0,6,27.5,41.8,1,-1,-1
3,8,0,6,27.3,29.3,1,0,976
3,9,0,1,25.9,27.1,0,-1,-1
3,10,0,4,24.2,25.6,1,-1,-1
3,11,0,1,21.9,20.8,0,-1,-1
3,12,0,4,29.2,39,1,0,542
3,13,1,9,26.9,42.2,0,-1,-1
3,14,1,9,23.6,37,0,-1,-1
3,15,1,6,26,27.8,0,-1,-1
3,16,0,4,29.5,37.3,1,-1,-1
3,17,0,4,25.3,32,0,-1,-1
3,18,0,6,26.2,36.4,1,-1,-1
3,19,1,1,25.2,21.9,0,0,1319
3,20,1,6,25.5,29.2,1,0,1428
3,21,0,12,23.9,36.3,0,0,1302
3,22,1,9,28,48.7,1,0,994
3,23,0,9,20.7,34.2,0,-1,-1
3,24,1,9,28.7,53,0,-1,-1
3,25,0,12,23.1,49.1,0,-1,-1
3,26,1,4,28.6,39.5,0,-1,-1
3,27,1,12,21.3,52.2,1,-1,-1
