A	DA	B	DB	R	ID
26.2	0	47.9	9	0	15
26	0	94.2	6	1	15
23.9	0	48.2	2	1	15
25.4	0	20.6	1	0	15
27.3	0	32.8	2	0	15
27.6	0	67	4	1	15
29.7	0	26.6	2	0	15
22.8	0	27.6	2	0	15
23.9	0	26.4	1	1	15
27.7	0	23.6	1	0	15
24	0	34.1	4	0	15
22.5	0	20.3	2	0	16
23.8	0	25.9	2	0	16
21.2	0	31.5	4	0	16
27.2	0	45.4	12	1	16
26.2	0	22.8	9	0	16
20.9	0	36.2	1	1	16
20.9	0	22.9	2	0	16
30	0	47.6	1	1	16
27.2	0	42.8	2	1	16
24.1	0	26.6	2	0	16
21.5	0	32.1	2	0	16
23.2	0	63.9	6	1	16
28.1	0	85.5	9	1	16
24.6	0	39	1	1	16
28.2	0	27.1	6	0	16
26.4	0	30.8	12	0	16
26.9	0	45.8	4	0	16
22.4	0	52.4	6	1	16
20.6	0	45.4	6	1	16
21	0	28.7	6	0	16
27.4	0	86.4	12	1	16
24.6	0	28	2	0	16
21.5	0	23.5	6	0	16
24.2	0	21.6	1	0	16
26.1	0	28.2	1	0	16
23.3	0	22.8	2	0	16
29.5	0	36.4	6	0	16
22.8	0	29.2	1	0	16
29.1	0	39.4	4	0	16
20.5	0	37.6	9	0	16
27.6	0	26.1	1	0	16
20.4	0	31	9	0	16
29.4	0	37	6	0	16
27.3	0	49.3	6	1	16
22	0	29.3	6	0	16
24	0	30.4	4	0	16
29.3	0	42.6	6	0	16
27.7	0	30.1	1	1	16
25	0	43.3	6	0	16
28.7	0	53	12	0	16
26	0	44.9	9	0	16
25.6	0	39.5	2	1	16
26.6	0	34.8	1	0	16
22	0	28.8	4	0	16
21.1	0	19.3	4	0	16
23.9	0	37.4	1	0	16
27.2	0	43.9	9	0	16
21.9	0	51.6	1	1	16
29.9	0	50.8	9	0	16
27.6	0	55.1	12	0	16
24	0	76.5	6	1	16
27	0	140.1	12	1	16
29.3	0	35.1	2	0	16
30	0	43.5	1	0	16
21	0	31.8	6	0	16
22.2	0	30.4	4	0	16
26.8	0	29.4	1	0	16
22.4	0	41.9	9	0	16
20.5	0	33.2	6	0	16
26.8	0	32.6	2	0	16
22.3	0	24.8	1	0	16
21.7	0	24.9	4	0	16
29.6	0	44.6	4	1	17
25.8	0	24.4	2	0	17
21.4	0	32	12	0	17
26	0	39.3	9	1	17
21.4	0	20.1	1	0	17
21	0	24.5	6	0	17
24.7	0	25.9	1	0	17
29.6	0	38.7	6	1	17
25.9	0	30.4	4	0	17
20.5	0	29.2	2	1	17
21.3	0	31.8	9	1	17
22	0	30.5	9	0	17
25.3	0	30.2	4	0	17
22	0	26.6	4	0	17
24.1	0	40.1	12	0	17
24.7	0	43	12	0	17
24.1	0	39.3	9	1	17
26	0	35.7	6	1	17
27.8	0	42.2	9	0	17
26.1	0	32.2	9	0	17
27.8	0	45.8	6	1	17
29.1	0	30.4	1	0	18
22.3	0	21.8	4	1	18
26.2	0	61.1	2	1	18
25.7	0	38	12	0	18
29.8	0	31.2	1	0	18
21	0	22.1	1	0	18
29.4	0	35.7	4	0	18
22.1	0	33.7	9	1	18
25.9	0	19.1	1	0	18
23.3	0	18.6	2	0	18
21.9	0	35.2	2	1	18
23.1	0	25.4	2	0	18
25.8	0	34	6	0	18
23.3	0	28.6	4	0	18
26.1	0	27.7	1	1	18
23.4	0	26.4	6	0	18
28.6	0	31.5	4	0	18
29.4	0	32	2	0	18
23	0	28	4	0	18
25.2	0	43.8	12	1	18
29.7	0	44.6	2	1	18
29.1	0	45	4	0	18
27.9	0	33.3	4	0	18
22.6	0	25	2	0	18
20.4	0	24.9	4	0	18
26.1	0	32.3	4	0	18
23.6	0	21.8	6	0	18
25	0	39.9	9	1	18
26.8	0	97	12	1	18
26.7	0	68.1	9	1	18
24.6	0	22.1	2	0	18
24.5	0	59.7	12	1	18
27	0	33.7	1	0	18
21.8	0	23.9	12	0	18
24.3	0	37	9	0	18
24.2	0	38.1	9	1	18
23.6	0	29.2	4	1	18
25.6	0	53.9	6	1	18
23.9	0	39.1	12	0	18
20.5	0	47.2	9	1	18
20.6	0	21.8	1	0	18
29.4	0	45.1	9	1	18
22.4	0	27.4	4	0	18
24.3	0	27.1	2	1	18
23	0	57.3	12	1	18
26.1	0	33.9	1	0	18
21.2	0	21.9	9	0	18
22.5	0	36.9	12	0	18
25.9	0	26.6	6	0	18
20.6	0	35.4	12	1	18
24.5	0	45.9	6	1	18
28.2	0	34.6	4	0	18
20.4	0	28.9	2	0	18
24.2	0	40.7	12	1	18
21.8	0	26.5	4	1	18
27.9	0	29.4	1	0	18
21.1	0	25.5	4	0	18
27.3	0	68	9	1	18
20	0	18.7	4	0	18
26.5	0	31.9	12	0	18
24.8	0	36	2	1	18
23.4	0	27.5	9	1	18
21.4	0	31.2	9	1	18
22.2	0	23.3	1	0	18
29.1	0	34.8	4	0	18
24.7	0	42.4	4	1	18
21.9	0	21.9	6	0	18
26.6	0	25.5	4	0	18
20.1	0	24.4	4	0	18
26.7	0	39.8	9	0	18
25.5	0	22.4	1	0	18
25.4	0	26.9	1	0	18
21.5	0	20	2	0	18
29.6	0	31.4	1	0	18
20.5	0	35.3	12	0	18
20.3	0	25.5	4	0	18
25.6	0	32.4	4	1	18
23.6	0	26.6	2	0	18
20.9	0	21.3	6	0	19
29.9	0	37.3	12	0	19
28.2	0	52.3	12	0	19
27.3	0	30.9	6	0	19
23.3	0	41.5	6	0	19
21	0	46.9	4	0	19
28.5	0	133.2	4	1	19
20.9	0	15.7	4	0	19
21.8	0	34.4	9	0	19
21.9	0	23.5	1	0	19
24.6	0	209.5	12	1	19
22	0	24.4	12	0	19
27.8	0	30.1	1	0	19
23.1	0	31	4	0	19
25.9	0	22.3	1	0	19
25.3	0	35.1	4	0	19
25.2	0	48.4	9	0	19
22.4	0	32.3	4	0	19
24.7	0	37	12	0	19
29	0	30.7	1	0	19
22.5	0	22.8	4	0	19
22.8	0	24.3	1	0	19
22.2	0	27.3	6	0	19
29.6	0	31.4	2	0	19
29.9	0	44.3	6	0	19
20.1	0	40.5	9	0	19
25	0	35.8	4	0	19
29.7	0	32.5	9	0	20
28.1	0	33.1	4	0	20
24.9	0	25.9	4	0	20
21.8	0	31.4	12	1	20
27.3	0	65.1	12	1	20
26.9	0	56.1	12	1	20
25.3	0	31.1	6	0	20
29.2	0	26	1	0	20
22.7	0	34.8	12	1	20
23	0	22.7	4	0	20
23	0	32.9	6	1	20
23.5	0	29.8	12	1	20
27	0	39.4	6	1	20
21.3	0	35.1	12	1	20
26.4	0	41.5	12	1	20
27	0	41	12	1	20
22.2	0	21.5	2	0	20
20.3	0	19.9	2	0	20
22.8	0	25.3	4	0	20
21.2	0	26.2	12	0	20
22.8	0	27.4	4	0	20
25.9	0	25.4	2	0	20
20.3	0	25	4	0	20
20.3	0	32.9	12	1	20
26.3	0	24.9	1	0	20
26.1	0	29.6	4	1	20
23	0	23.8	4	1	20
23.6	0	25	2	1	20
25.6	0	26.4	1	1	20
24.1	0	25.5	2	1	20
21.2	0	28.3	12	0	20
29.8	0	31.6	2	1	20
29.2	0	30.1	1	0	20
28.5	0	31.9	4	1	20
20.2	0	21.1	6	0	20
20.9	0	26.2	4	1	20
21	0	28.3	12	1	20
25.9	0	29.3	1	1	20
21.9	0	30.2	9	1	20
21	0	29	12	1	20
22.8	0	23.7	9	0	20
26	0	25.5	4	0	20
22.1	0	32.3	12	1	20
25.6	0	28.1	4	0	20
26.6	0	35.8	9	1	20
22.4	0	33.6	12	0	21
27.9	0	41.7	9	0	21
29.9	0	28.3	2	0	21
29.2	0	41.2	6	0	21
20.9	0	36.8	6	1	21
26.6	0	30.9	2	0	21
23.5	0	31.8	4	0	21
24.8	0	29.6	2	0	21
24.9	0	27.5	1	1	21
23.8	0	44.4	9	1	21
22.9	0	40.2	9	1	21
26.3	0	23.3	1	0	21
23.6	0	27.2	2	0	21
23.3	0	31.7	2	0	21
29.6	0	28.8	6	0	21
24.3	0	23.5	4	0	21
24.2	0	28	2	0	21
24.3	0	50.6	6	1	21
26.2	0	51.3	12	1	21
21.7	0	40.2	12	1	21
21	0	22.4	1	0	21
28.2	0	29.7	6	0	21
28.3	0	30.3	1	0	21
21.9	0	40.2	12	1	21
22.5	0	22.3	4	0	21
23.5	0	26.7	2	0	21
29.7	0	39.1	1	1	21
27.4	0	50	12	1	21
29.1	0	51.1	12	1	21
22.3	0	37.7	12	0	21
25.3	0	62.5	12	1	21
21.9	0	23.3	1	0	21
28.8	0	68.1	12	1	21
20.5	0	21.8	1	0	21
28.4	0	64.9	12	1	21
27.2	0	42.5	9	0	21
29.2	0	43.6	12	0	21
21.4	0	22.4	1	0	21
22.4	0	36	4	1	21
20.1	0	22	6	0	21
29.8	0	59.9	12	1	21
26	0	41.3	12	0	21
22.6	0	38.6	12	0	21
21.5	0	25.3	4	0	21
24.8	0	37.4	4	0	22
29	0	45.1	12	0	22
27.7	0	36.9	6	0	22
20.2	0	14.8	1	0	22
28.2	0	39.2	6	0	22
26.5	0	28.6	1	0	22
29.7	0	44	6	1	22
21.4	0	33.4	9	1	22
20.1	0	24.5	4	0	22
29.9	0	36.9	4	0	22
28.8	0	29.2	12	0	22
21.2	0	21.7	9	0	22
28.7	0	40.5	6	1	22
20.2	0	32.2	1	1	22
26.9	0	42.1	9	1	22
24.2	0	46.4	4	1	22
23	0	27.3	12	0	22
27.2	0	28.8	6	0	22
25.6	0	41.3	4	1	22
21.7	0	37.8	6	1	22
21.5	0	20	1	0	22
27.5	0	40.2	4	1	22
22	0	46.1	12	1	22
21.1	0	28.7	6	0	22
23.7	0	27.8	4	0	22
21.2	0	19.3	2	0	22
26.7	0	28.3	1	0	22
20.7	0	23.4	2	0	22
24.1	0	31.3	4	0	22
21.4	0	28.7	4	0	22
24.5	0	52.3	9	1	22
27.2	0	40.6	4	1	22
27.7	0	43.2	6	1	22
27.3	0	33.9	2	0	22
25.2	0	31.2	9	0	22
23.3	0	21.7	1	0	22
29.4	0	74.1	12	1	22
25.8	0	38.6	6	1	22
30	0	32.2	1	0	22
24.4	0	29.9	6	0	22
23.8	0	48	9	1	22
26	0	50.8	9	1	22
29.8	0	50.3	9	1	22
28.1	0	27.3	1	0	22
28.3	0	28	1	1	22
22.8	0	24.2	4	0	22
23.4	0	41.1	12	1	22
21.1	0	19.5	1	0	22
22.7	0	29.2	2	0	22
21.3	0	27.5	1	0	22
27.2	0	39.8	1	0	22
20.9	0	38.4	1	1	22
29.5	0	46.6	12	1	22
29.2	0	44.5	12	1	22
26.5	0	65.5	6	1	22
23.9	0	27.8	4	0	22
29.9	0	81	9	1	22
20.9	0	24.4	4	0	22
23.3	0	24.4	1	0	22
25.6	0	30.2	4	1	22
25.7	0	22.9	6	0	22
24.5	0	28.8	4	0	22
26.6	0	24.8	6	0	22
21.9	0	18	1	0	22
25.4	0	25	6	0	22
24.9	0	29.4	12	0	22
26	0	31.5	4	0	22
24.1	0	23.7	4	0	22
22	0	22	4	0	22
28.5	0	25.5	1	0	22
21.3	0	32.4	9	1	22
23.7	0	28.3	9	0	22
25.4	0	42.8	6	0	22
23.5	0	26.4	2	0	22
24.7	0	39.6	4	1	22
26.9	0	65.2	12	0	22
28.4	0	50.5	12	1	22
26.8	0	46.5	12	1	22
24.1	0	21.1	1	0	22
22.3	0	22.4	4	0	22
26	0	41.4	4	0	22
22.8	0	27	9	0	22
26.8	0	38.7	2	1	22
23.8	0	22.3	2	0	22
22.8	0	28.8	4	0	22
27.4	0	70.2	12	1	22
24.2	0	33.4	9	0	23
21	0	22.2	6	0	23
25.1	0	37.6	4	1	23
23.1	0	28.5	4	0	23
20.7	0	25.6	6	0	23
23.3	0	33	4	0	23
25.7	0	60.6	9	0	23
27.7	0	87.4	6	1	23
