Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,699.917554,78.861252,86.789176,9.528094,42.027397,498,21.35506,30.796604,74.21374,21.601852,440,0,0.097656,0.257812,3027.019261,2013.120496,837.132614,51.480301,34.236997,14.237055,70.563086,29.342834,5879.956426,2.404781,0.003906,0.042969,0.152344,2918.496168,2409.199348,912.891973,46.753355,38.594587,14.624231,72.482664,27.465076,6242.324527,2.639085,0.243942,29.724231,107.488477,1.243837,1.207164,3.884442,1.272147,0.918321,11.883415,462.5,34.602543,98.876662,3.283279,1.207164,1.646679,1.772746,1.726117,1.788381,1.75441,1.478787,1.600804,1.731777,1.472883,1.574877,1.411464,1.594996,1.462224,1.557274,2.028199,1.522468,1.733095,1.479423,1.401885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,859.572431,80.831479,70.46452,7.009508,49.057924,321,27.412468,16.209584,81.499489,20.206897,395,0.003906,0.09375,0.15625,1579.846457,3389.920932,788.107147,27.433404,58.864625,13.685166,81.118074,18.858768,5758.842313,4.301345,0.003906,0.078125,0.152344,1652.995734,3659.910464,775.939394,27.143097,60.097738,12.741351,82.487363,17.488186,6089.930447,4.716748,0.215474,34.704521,108.766337,1.355403,1.473387,4.352507,1.386313,0.70391,11.016751,383,34.467829,98.697792,3.234059,1.473387,1.644868,1.683173,1.61366,1.615166,1.625124,1.670949,1.321726,1.334336,1.271374,1.159895,1.268664,1.305114,1.386504,1.312726,1.337968,1.324693,1.440718,1.094098,1.468116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,907.865836,102.041068,66.97315,7.950378,87.934471,486,54.120267,4.789927,102.662527,29,600,0.007812,0.097656,0.1875,1694.316308,3353.301057,4516.98303,17.705262,35.041316,47.201556,42.580263,57.356712,9569.563776,0.742376,0.003906,0.042969,0.191406,1794.434709,3290.402397,4507.622489,18.701859,34.293051,46.979095,42.181838,57.786186,9594.953894,0.729964,0.212939,62.214019,130.127278,1.404624,1.598984,4.464423,0.94723,0.688849,7.785908,196,20.997349,96.602934,2.829379,1.598984,1.869275,1.830688,1.681178,1.36948,1.318756,1.330318,1.258424,1.443743,1.231474,1.209121,1.177737,1.042595,1.13524,1.069369,1.070425,1.360482,1.197584,1.007026,1.010308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,811.603848,83.993659,74.743509,7.887523,48.393892,256,27.765727,8.985228,82.455578,22.512195,410,0.019531,0.042969,0.3125,2742.862959,2240.963072,634.562522,48.816738,39.884059,11.293773,77.924026,22.065364,5618.693674,3.531509,0.003906,0.042969,0.152344,3170.585597,2706.775459,925.208728,46.60388,39.786416,13.59948,74.51181,25.469042,6803.265358,2.925584,0.266377,34.238254,113.766306,1.327828,1.418364,4.134419,1.424695,1.04275,11.959327,694,34.302774,98.708142,3.309073,1.418364,1.566371,1.660759,1.772078,1.651123,2.010551,1.603473,1.580643,1.57273,1.547859,1.584898,1.573459,1.762982,1.914413,1.37038,2.142495,1.314296,1.863832,1.902898,1.495499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1082.805232,123.550633,56.179283,6.757228,115.800199,605,68.053993,17.81522,122.536285,28.709677,615,0.015625,0.089844,0.191406,1966.502665,6699.800036,5105.411031,14.276633,48.639948,37.064827,56.740595,43.237717,13774.274586,1.312294,0.039062,0.070312,0.222656,2329.636805,6955.340106,4850.474788,16.47661,49.192401,34.305512,58.896557,41.07294,14139.053934,1.43395,0.183771,81.929198,154.428626,1.500333,1.750361,0.657183,1.037234,0.620127,6.545637,76,16.775901,95.061747,2.604876,1.750361,1.95895,1.67164,1.684709,1.679486,1.641309,1.478572,1.40404,1.389861,1.25718,1.378108,1.027853,1.171972,1.211082,1.536914,1.20099,1.001849,1.127964,1.138824,1.142523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,768.471495,58.695429,78.580521,6.285742,35.215733,109,12.151616,20.882762,56.405763,15.754386,285,0.003906,0.089844,0.191406,1389.349535,1010.933163,502.466737,47.850993,34.817844,17.305604,66.766074,33.184915,2903.491536,2.01194,0.003906,0.042969,0.152344,1379.606332,1261.935417,486.032439,44.096304,40.335193,15.535036,72.15121,27.788925,3128.621247,2.596402,0.183408,24.915253,79.122771,1.272863,1.340644,3.450145,1.258588,0.931297,11.869644,308,35.173809,98.856057,3.317844,1.340644,1.587012,1.699082,1.630355,1.662709,1.701239,1.607812,1.953453,1.661246,1.503199,1.421761,1.296832,2.095621,1.438851,1.797798,2.067436,1.402779,1.972796,1.317019,3.386926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,708.534476,49.136598,85.127832,5.986989,26.225619,61,4.947283,4.067551,41.31696,12.721649,250,0.011719,0.054688,0.234375,1036.926351,631.145925,407.559165,49.947341,30.401446,19.631574,60.738923,39.22184,2076.039156,1.5486,0.003906,0.042969,0.238281,1134.028342,704.413282,478.203333,48.946448,30.403586,20.640008,59.552342,40.428154,2316.875666,1.473041,0.220959,18.551879,66.948851,1.221367,1.250793,2.460058,1.195885,0.971685,13.258309,954,40.90742,99.091461,3.442827,1.250793,1.665819,1.76776,1.563311,1.437996,1.698972,1.553312,1.6165,1.518414,1.535066,1.536967,1.520359,1.927432,1.483811,1.57843,1.310676,1.364689,1.413449,1.204719,1.516906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,725.992974,48.77307,83.02489,5.521938,30.339776,191,10.07384,17.160424,46.707756,14.592308,295,0.003906,0.089844,0.152344,986.560357,823.87541,426.472499,44.084181,36.814649,19.056808,65.839417,34.081246,2237.901045,1.931837,0.003906,0.042969,0.152344,986.644647,919.732481,437.941855,42.069809,39.216723,18.673522,67.696521,32.234525,2345.255804,2.100125,0.284273,21.45915,65.553388,1.417816,1.526906,2.583392,1.163736,0.793686,10.860339,299,31.160973,98.33805,3.142888,1.526906,1.636221,1.580932,1.571684,1.667799,1.611669,1.240097,1.264739,1.1367,1.410441,1.10387,1.260658,1.209917,1.241685,0.98814,1.377928,1.722459,1.10205,1.752154,1.401145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,627.834343,34.510721,95.855111,5.26185,20.730565,33,2.975654,6.898983,34.591504,10.090909,200,0.007812,0.082031,0.246094,643.47239,481.325662,208.075729,48.255031,36.095387,15.603934,69.756322,30.155462,1333.482484,2.313223,0.003906,0.042969,0.261719,518.71017,386.857291,214.403272,46.302595,34.532765,19.13868,64.309934,35.641723,1120.261545,1.804344,0.241664,14.665392,46.550354,1.343828,1.419607,0.787327,1.138197,0.956338,13.649445,433,41.561541,98.904373,3.460145,1.419607,1.675338,1.612094,1.48143,1.666687,1.496538,1.615682,1.415357,1.498083,1.372069,1.690379,1.498513,1.456822,1.480577,2.016684,3.102436,1.926259,1.866853,1.694996,1.434668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,782.863882,50.861804,76.955686,4.854688,20.352646,26,2.03125,25.562842,44.980254,12.683168,295,0.003906,0.09375,0.226562,2139.295737,445.145139,163.518803,77.840776,16.197126,5.949823,73.094286,26.850322,2748.297018,2.722287,0.003906,0.042969,0.152344,1881.292511,450.673393,185.511539,74.723217,17.900335,7.368349,70.817298,29.150658,2517.681369,2.429355,0.255015,14.397137,70.469881,1.037434,0.928712,1.122812,1.209393,1.067153,26.881522,823,47.050702,99.677975,4.053639,0.928712,1.177838,1.212828,1.177339,1.171013,1.042428,1.000585,1.032407,0.967407,1.00841,1.206066,1.003756,0.862674,1.144736,1.426238,1.052131,1.259328,1.136736,1.327271,1.011911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
