id,condition,k,s,k2,s2,hyperbolic,hTemp,exponential,eTemp,qhDelta,qhBeta,qTemp,weber1,weber2,weberR,stevens1,stevens2,stevensR,meanReproduction,stdReproduction,cvReproduction,meanDiff,stdDiff,cvDiff,meanAbsDiff,stdAbsDiff,cvAbsDiff,meanRelReproduction,stdRelReproduction,cvRelReproduction,meanSR,stdSR,cvSR,meanRelDiff,stdRelDiff,cvRelDiff,meanAbsError,stdAbsError,cvAbsError,weberVar,weberVarR,stevensVar,stevensVarR,HRV,meanHR,cleanTD,cleanDR,cleanHR,cleanOther,logK,logE,logHRV,ptHRV,ptHR,filter,meanNN,SDNN,RMSSD,VLF,LF,HF,fftVLF,fftLF,fftHF,logAccuracy
21,4,0.072157241,0.071957603,0.070359908,0.052900247,0.0704654220240554,1.65598099204512,0.0508344116658511,2.40383696271484,0.666533137517437,0.950436035791436,1.60223695808039,4.2471571,-1.7163339,0.86232263,1.2052155,0.80754268,0.89349681,5.5038333,3.1778138,0.57738191,-1.3360693,1.8466117,-1.3821226,1.5363303,1.6777694,1.0920628,0.86265039,0.16501537,0.1912888,1.201399,0.23358759,0.19442965,-0.13734958,0.16501537,-1.201426,0.17917019,1.6777694,9.36411,0.71333694,0.6441443,0.92428315,0.6887399,3.81017460835509,83.0453571831198,0,0,0,0,-2.65263315722646,-2.97918175872907,1.33767501705309,0.0684267151464824,82.9927516056874,1,723.4929058268,68.520338226066,38.0220335106511,1401.39868475644,537.400426313128,332.613470230978,4097.70430004153,1559.5097691477,975.84368158528,-0.165519858971112
22,2,0.063664332,0.068289191,0.069699049,0.13218877,0.0705126982580174,4.02982825277948,0.0509654818884296,4.76494861637611,0.665959956812613,0.950311465535682,3.17326434329949,4.7250142,-2.784091,0.84401184,0.97396225,0.89259493,0.83664244,5.2484331,3.5735006,0.68087,-1.5914694,1.9308932,-1.213277,1.7205845,1.8127233,1.0535508,0.75264847,0.22527076,0.29930407,1.490858,0.63544816,0.42622986,-0.24735151,0.22527076,-0.91073132,0.27252653,1.8127233,6.6515479,1.0953485,0.79677272,1.1611962,0.91933703,7.81133953822407,85.24853280333,0,0,0,0,-2.65196246824806,-2.97660670112481,2.05557646492218,0.0877018261949175,85.9139321907387,1,696.74312232906,86.5010644174369,54.7390236514171,1706.42370474587,1097.73381764225,706.008838524779,4957.60485410426,2990.47056237669,1999.38453603498,-0.335177994541642
23,3,0.11931462,0.11963581,0.11493117,0.050442513,0.250204430080193,2.31434181033017,0.161963676635617,2.63340943236582,0.666383870982962,0.850472092630457,1.75486154956483,4.6483717,-0.91356486,0.84388542,1.9049757,0.69893676,0.88129336,6.9886665,3.5157995,0.50307155,0.14876392,1.7361696,11.670635,1.370538,1.0459601,0.76317483,1.1699344,0.35348684,0.30214244,0.92397541,0.24992408,0.27048779,0.16993442,0.35348684,2.0801368,0.27786592,1.0459601,3.764262,0.48009712,0.7885707,0.37073421,0.77420574,7.45593700270415,69.7008887929497,0,0,0,0,-1.38547697495023,-1.82038318718909,2.00901062813946,0.0985794854878268,70.0876769953925,1,855.229591836735,96.7424394279826,65.1953705138346,1778.06564670246,2074.87948768897,586.165442872097,6101.32931616812,7204.19687017684,2046.58602850597,0.116588070152057
24,4,0.11757749,0.041062254,0.11902388,0.070375472,0.191936163333482,0.0431434082515737,0.113836011206224,0.663081227038548,0.666393337718195,0.892404276834113,0.441873227184389,3.0127428,-1.0144628,0.75031012,1.1680903,0.68362749,0.70302993,4.1072001,2.4166107,0.58838397,-2.7327027,2.8895864,-1.0574098,2.8190665,2.8024461,0.99410433,0.64139795,0.23243715,0.36239147,1.7887572,0.72923779,0.40767843,-0.35860202,0.23243715,-0.64817578,0.37795895,2.8024461,7.4146838,0.67794085,0.73393869,0.5472371,0.68712997,13.9719918690879,65.6163948621735,0,0,0,0,-1.65059244487708,-2.17299636441047,2.63705474500109,0.13711110687701,67.3387575380492,1,888.207555207197,147.194226180978,118.596256287847,4274.17334031087,2760.91233388802,3251.06088803833,15339.5929593892,9865.37595992382,11692.3170464351,-0.510163923069343
25,3,0.12357517,0.034331247,0.11086132,0.068872228,0.169448361148516,0.737084365107181,0.119614874581107,1.17682575023677,0.666811532483463,0.887262072017798,0.784721018714708,3.0372715,-1.657528,0.74757403,0.53360635,0.97814578,0.82588649,3.5058334,2.4407399,0.69619393,-3.3340695,2.5075202,-0.75208998,3.3340695,2.5075202,0.75208998,0.52938408,0.15113162,0.28548574,2.0284698,0.52985984,0.26121157,-0.47061589,0.15113162,-0.32113579,0.47061589,2.5075202,5.328167,0.66147715,0.52178246,1.0115237,0.62533152,7.15806660483733,73.9972441438056,0,0,0,0,-1.77520705256914,-2.12347807579159,1.96823991725127,0.0976109458767717,74.5683557340077,1,787.033225763962,136.380295009556,95.8973700200326,4425.61192200553,2770.18996943571,1408.18912417551,14899.2003226945,8055.27690594749,4669.88216256331,-0.672727254615836
26,4,0.1160784,0.038466856,0.11705118,0.16085412,0.339614534245697,3.54105105646393,0.175692551292509,5.25913282542928,0.6662452877612,0.838875847646441,3.50387255188862,5.5181856,-3.551949,0.84827888,0.73737234,1.0660418,0.9356581,5.8289666,4.1628618,0.71416807,-1.010936,1.1698573,-1.1572021,1.0938972,1.0899199,0.99636418,0.8383196,0.20077133,0.23949258,2.6172483,7.8524709,3.0002775,-0.16168039,0.20077133,-1.2417792,0.17537025,1.0899199,6.2149649,0.41849756,0.38235345,0.34447759,0.31986323,35.2866214454203,54.6423731365758,0,0,0,0,-1.07994402732855,-1.7390196791527,3.56350389622172,0.201724645299074,57.1394642932876,1,972.799977948589,280.72124075837,275.77255377989,10704.6946086658,13390.3735520215,12409.5961411676,42689.1300119047,52883.3990499556,47584.666656145,-0.276563194719422
27,2,0.040017083,0.049718581,0.036192678,0.039952964,0.038634559420953,0.0499591653153288,0.0330713848445648,0.0491687651109194,0.99951986819516,0.967469851706752,0.0491453754305816,4.5574427,-2.7328863,0.79022086,0.77586156,0.97447848,0.83696413,5.0147667,3.5621483,0.71033186,-1.8251361,1.9083896,-1.045615,1.9233804,1.8058188,0.93887764,0.72932655,0.20788929,0.28504282,1.4913317,0.45551947,0.30544478,-0.27067345,0.20788929,-0.76804459,0.29087767,1.8058188,6.2081728,1.0291266,0.92763656,0.72888845,0.91007805,84.4217125483048,107.581325711175,0,0,0,0,-3.25360808128649,-3.40908687670662,4.43582462619816,0.0922232444773041,79.321700274329,1,738.258198095494,128.066986761034,107.622626046285,3188.09921466947,2355.09870203412,1613.69340335218,9356.24169582504,7296.21193030548,4764.14100853902,-0.356674494648221
28,1,0.046473999,0.05139162,0.052650418,0.057601146,0.0480217503887137,0.247860074273025,0.0390699939541986,0.733104563158639,0.66647782467682,0.961683384693144,0.488597905226133,4.3673573,-2.4377406,0.75919211,0.9301765,0.88861406,0.77079064,4.9867668,3.4826343,0.69837523,-1.8531361,2.2305045,-1.2036377,1.961253,2.1327283,1.0874314,0.73297375,0.19035265,0.25969914,1.462694,0.40737411,0.27850944,-0.26702625,0.19035265,-0.71286118,0.2823047,2.1327283,7.5547028,1.4206599,0.70014578,1.8596438,0.95851529,5.7392242829474,84.4376009313854,0,0,0,0,-3.03610123760984,-3.24240052465798,1.74732405885527,0.157411586409808,91.2827249695036,1,661.890055955994,138.860844521593,133.075756993505,2974.94832964669,2218.28816054305,2540.83006031279,7999.5967028079,6029.29839211431,6757.20131242996,-0.34463168729529
29,2,0.023139501,0.056782089,0.020115433,0.055020627,0.0175830202301993,1.46627840126412,0.0154844821244869,1.55386311590679,0.666991050066684,0.984634778219773,1.03641238519061,5.3592858,-3.993119,0.83298403,0.53581363,1.1575104,0.91479474,5.1176667,4.0799384,0.79722625,-1.722236,1.3327935,-0.77387381,1.7321873,1.3193852,0.76168734,0.69417864,0.17223355,0.24811128,1.5375859,0.42241469,0.27472591,-0.30582136,0.17223355,-0.56318355,0.30649012,1.3193852,4.304821,0.81200135,0.76295125,0.96780258,0.84247452,2.25016234469305,82.9759792740278,0,0,0,0,-4.04082160226592,-4.16791690980451,0.811002366810323,12.2724441662111,56.3177576390527,1,720.5036826328,70.6657966116979,64.9782658981294,764.37584328839,758.270148008623,578.111085874112,2199.09419556017,2269.85198292269,1683.4002258825,-0.39654278101724
30,4,0.051150121,0.036585715,0.057771128,0.053391807,0.05259160386464,0.0537614614076745,0.0461089332289137,0.0536326391739148,0.99983168914773,0.954945767498618,0.053626252209265,3.3609428,-1.9514695,0.86450577,0.6943053,0.89472872,0.86706078,3.7621334,2.5115521,0.66758722,-3.0777695,2.3715918,-0.77055538,3.0777695,2.3715918,0.77055538,0.54526395,0.14811295,0.27163535,1.97184,0.54570228,0.27674776,-0.45473608,0.14811295,-0.32571191,0.45473608,2.3715918,5.2153149,0.50890177,0.79095525,0.52582711,0.67440903,7.3177660704624,94.676174836344,0,0,0,0,-2.94519879432472,-3.07674856838327,1.99030509976501,0.0952891195832849,98.2391156901104,1,606.590902898867,93.8816777165083,90.2091714856595,1437.99504627173,828.575257681184,1088.77593607339,3530.9175971055,2155.10391452355,2610.64575858069,-0.64250329189311
